FID,CC210326,CC210407,CC210419,CC210429,CC210505,CC210513,CC210520,CC210527
3917,0.00245074,18.53249681,74.09567689,95.28553184,92.31580552,97.2038875,96.81572931,96.48514851
3918,0.007964905,21.3980247,72.40068451,96.60661485,94.54600742,98.18486253,98.21109889,98.11431184
3919,0,13.9692187,63.21721061,94.44779759,91.17390642,96.9606154,96.89315653,96.83718372
3920,0,16.32131654,66.40525439,96.12680994,93.91678098,97.34415861,97.39518396,97.43453742
3921,0.00122537,20.37177728,68.77459968,95.91923615,93.51274098,97.72925817,97.623533,98.12736829
3922,0.001838055,16.10810215,68.34922381,95.40740741,93.86556927,97.8821374,97.10793302,97.47233653
3923,0.00367611,10.94316734,59.38204588,89.86069197,88.34324036,96.90176903,95.12879134,95.68573524
3924,0,9.32874228,59.67118934,93.02728243,90.95846257,97.89669732,97.01931304,97.15043439
3925,0,10.27227723,59.0404596,92.92160798,90.77213839,97.53573249,96.79134278,96.72044982
3926,0,15.47458582,67.14047642,95.14647157,92.14266118,97.83299765,96.87385405,97.21018137
3927,0,13.49622586,65.63195208,90.66239902,89.73240893,96.2690189,95.90001524,95.60750519
3928,0.000612685,11.95654838,63.55029947,93.02118579,92.73830209,97.28154044,96.89646742,97.12056089
3929,0.000612685,10.52531615,54.59452505,88.24606215,86.44413961,95.31170375,94.26794696,94.63451901
3930,0,11.60241643,60.61422809,91.40862673,88.18707049,96.50063857,95.43332111,96.28532236
3931,0.004288795,20.79146652,75.24019069,95.71284865,93.19737845,97.76323133,97.1833562,97.11160005
3932,0,17.69066758,68.00007352,94.43804298,92.26276482,97.29306705,97.65370982,97.7674135
3933,0.005514165,18.0215175,72.3591248,94.5794563,93.44584322,97.26819384,96.88888889,97.36707004
3934,0.005514165,20.49002549,72.72093876,95.0666057,94.8117665,97.99619015,97.37134825,97.66072245
3935,0,17.94799529,70.35891089,95.21658284,94.09602195,98.57312723,98.19966469,98.2239335
3936,0,21.05185766,71.55848918,96.39506173,95.14504652,98.72418646,98.15548221,98.25514403
3937,0.00367611,24.75737673,76.68866887,97.67195767,95.942082,98.30316193,97.58695321,98.00085564
3938,0.004288795,27.48627586,82.27869817,96.95900015,96.0646243,98.75087966,98.06258404,97.96555403
3939,0,25.62310068,80.24508006,97.04313367,95.43757222,97.90579728,98.03078799,98.0436377
3940,0,21.67863445,80.09289818,98.88675507,97.41624752,99.19175333,98.43784378,98.21490626
3941,0.00245074,19.79646603,75.9208656,97.77230432,96.24447493,98.60285375,98.37890565,98.26182618
3942,0,20.37974218,75.54638797,97.16384697,96.15337834,99.013565,98.41278572,98.50266728
3943,0.000612685,20.85518577,75.01955751,95.073312,94.00213382,97.77900459,97.77655845,97.28884
3944,0,22.25088227,73.03634448,95.92562109,93.17604024,97.43138635,97.10915536,97.25529645
3945,0.008556411,22.50698461,74.76958807,96.54260021,93.76087089,97.87728409,97.83996342,97.53942061
3946,0.003063425,22.82435546,78.5014057,98.65231405,96.74683737,99.15795093,98.72509473,98.31976833
3947,0.000612685,23.15398,77.635771,97.96921201,96.26093583,98.78060618,98.07163542,98.36817015
3948,0,19.84793158,78.50935094,97.93080323,96.53591194,98.97413186,98.39322821,98.61545496
3949,0.003063425,20.95566611,77.11771177,98.56607225,96.65721689,99.11123784,98.47340344,98.60958318
3950,0,21.65719047,79.66865994,98.8682114,97.04801097,99.29696527,98.64197531,98.42402073
3951,0.000612685,25.03124694,81.90746852,98.83127572,97.60931703,98.98869179,98.50144795,98.79110133
3952,0.001838055,22.13385943,79.34176751,99.06904435,97.1949398,98.90618554,98.59858208,98.434385
3953,0,16.97443878,76.78965298,98.86846517,97.51806127,98.96078527,98.78920896,98.65419875
3954,0,16.45733261,75.1607383,98.38898011,96.71592775,98.81821932,98.40606283,98.17649749
3955,0,16.69260367,72.60053783,97.87471422,96.2432556,98.73813973,98.25087639,98.21537709
3956,0,13.81175865,71.75583276,97.30894681,96.27069044,98.81154602,98.49957218,98.64837677
3957,0.000612685,13.51583178,75.9485393,97.48879744,96.5207079,99.03843821,98.12406645,98.44762254
3958,0,17.25504852,75.88497739,97.90001824,96.63831733,99.22468393,98.65908813,98.71483006
3959,0,17.4609107,73.90758259,98.64228014,96.00975461,99.36360989,98.73799726,98.96895245
3960,0,16.35440153,75.21513262,99.00381039,96.94520465,99.52198504,98.96528542,99.05928974
3961,0,17.97924223,75.3037526,99.1245237,97.6003658,99.31993011,99.06123946,98.8424398
3962,0.004288795,19.43069307,79.94865699,99.07620264,97.72412742,99.60809532,98.78311233,98.77152873
3963,0,20.01213116,80.84219533,99.26718488,97.4122727,99.34662331,98.99156582,98.72876177
3964,0,20.30376924,78.42562034,98.73129096,96.95351318,99.55228227,98.98673983,98.85200427
3965,0,15.57200274,73.6000147,99.01051669,97.48392013,99.34480332,98.70125901,98.85282973
3966,0.000612685,18.56251838,77.64576458,99.05734963,97.63607614,99.31204349,98.64776711,98.63923182
3967,0,13.68186942,74.10096565,98.77945435,96.33836305,99.44126283,98.93411563,98.59491505
3968,0,8.607611999,64.82146358,96.52918762,94.51973784,98.76725958,98.37890565,98.31915866
3969,0,6.768331536,55.06661777,89.33089468,88.9235541,97.43259967,97.22955629,96.91480259
3970,0,4.76914028,44.07590759,81.54959557,86.3069654,95.8109834,96.21094345,95.75186709
3971,0,4.236716989,40.51686109,74.98430117,81.47599451,95.50340945,95.91859186,95.54516563
3972,0,3.589721596,29.62290674,60.16034141,70.43726814,91.92530758,94.93430879,94.32464563
3973,0,1.940986178,19.09729862,41.04740131,50.34354519,74.72032808,80.33920059,80.53294218
3974,0,0.232207627,9.861301631,25.11951273,29.8260658,45.0993715,55.47005196,55.89586805
3975,0.000612685,4.288182531,48.79195245,79.58219303,83.27693949,92.43187168,94.77631096,94.69319154
3976,0,2.279188315,36.30546388,73.22264794,76.32799878,94.5861341,95.77860014,95.93177139
3977,0,3.787618861,41.93080323,83.58572037,84.10448215,95.4275765,96.35007945,96.32441022
3978,0.00122537,7.755979806,57.09617436,95.21039093,92.78829447,98.42449465,98.00938633,98.03266837
3979,0,14.38645721,64.42855397,97.49194186,95.34583143,98.62251414,98.28749542,98.47390295
3980,0,14.52124792,68.15912209,97.44572158,95.78969774,98.57555388,98.43949123,98.60552887
3981,0,16.17243408,67.32571254,97.29064039,95.14403292,98.23460894,98.63586359,98.78682313
3982,0.000612685,18.32295853,69.82092654,98.81761266,95.9073312,98.52823412,98.8579551,98.99029507
3983,0.003063425,15.28894226,67.19463496,97.47491334,94.67007237,98.30376859,98.39811759,98.39322821
3984,0.00122537,7.587491422,53.85703399,90.13987715,90.77091907,96.06396661,97.37280659,97.58357024
3985,0.006739535,7.603421233,58.85160738,94.14583713,92.52431032,97.9203572,98.30521941,98.12247891
3986,0,8.217944319,52.58771529,88.2756194,87.53755397,94.45145478,97.22024801,97.55354867
3987,0,8.067223802,56.16582838,91.49364471,90.86053955,96.93331554,98.92800391,98.86383083
3988,0,7.010342123,55.40459602,94.25773886,93.11507392,97.47263947,98.53507009,98.25446035
3989,0,6.868199196,50.57582686,89.12546372,89.51103813,96.98534331,97.23505684,97.2821171
3990,0.000612685,10.75446035,60.3078799,94.26581572,94.32464563,98.19456915,98.28754534,98.33656014
3991,0.000612685,10.16199392,56.95330644,94.00960895,94.58070416,98.27768206,99.31793179,99.0251803
3992,0,5.518454073,50.63557385,88.82259928,88.71252205,96.58387731,99.02644349,98.88368787
3993,0.001838055,6.188731497,49.69913123,91.38539196,89.08276177,95.97054042,97.62437355,97.73744041
3994,0.001838055,6.158097245,53.2416575,92.05452692,90.36854138,96.07670654,97.39241251,97.40650426
3995,0,6.408685423,52.16765737,88.30627015,86.39299398,94.50362785,95.74135191,95.69184696
3996,0,8.302494853,62.86480719,93.6848507,92.13473556,97.16324104,98.10128909,98.23117832
3997,0,7.823987844,56.96675223,93.67451195,91.69516842,97.41743309,98.08336389,97.87617651
3998,0.007964905,9.587908048,56.86206371,92.69759033,90.68053275,95.69026184,97.9248358,97.5321047
3999,0,8.547568866,56.86998933,92.17600195,92.19753086,97.20428146,97.62865175,97.32245447
4000,0.003063425,7.953264386,53.06013935,90.35577449,90.58802012,95.74061491,96.52239976,96.34043231
4001,0.000612685,9.763748652,55.75186709,92.27756492,91.60676276,97.18872091,97.73010634,97.81811514
4002,0.000612685,7.623027154,48.76024996,87.56460967,88.16034141,94.33254872,96.83854524,96.63942261
